index,Order ID,Cust ID,Gender,Age,Age Group,Date,Month,Status,Delivered_Flag,Channel,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,171-1029312-3038738,1029312,Women,44,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1,INR,376,MOHALI,PUNJAB,140301,IN,FALSE
2,405-2183842-2225946,2183842,Women,29,Teenager,04-12-2022,Dec,Delivered,1 ,Ajio,SET414-KR-NP-L,Set,L,1,INR,1449,GURUGRAM,HARYANA,122002,IN,FALSE
3,171-1641533-8921966,1641533,Women,67,Senior,04-12-2022,Dec,Delivered,1 ,Myntra,SET261-KR-PP-S,Set,S,1,INR,453,KOLKATA,WEST BENGAL,700029,IN,FALSE
4,404-7490807-6300351,7490807,Women,20,Teenager,04-12-2022,Dec,Delivered,1 ,Amazon,SET110-KR-PP-M,Set,M,1,INR,729,THANJAVUR,TAMIL NADU,613007,IN,FALSE
5,403-9293516-4577154,9293516,Women,62,Senior,04-12-2022,Dec,Delivered,1 ,Myntra,JNE2294-KR-A-XXL,kurta,XXL,1,INR,544,GURUGRAM,HARYANA,122001,IN,FALSE
6,407-1298130-0368305,1298130,Men,49,Adult,04-12-2022,Dec,Delivered,1 ,Flipkart,JNE3797-KR-XXL,Western Dress,XXL,One,INR,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN,FALSE
7,407-1298130-0368305,1298130,Women,23,Teenager,04-12-2022,Dec,Delivered,1 ,Meesho,JNE3801-KR-XXL,kurta,XXL,1,INR,735,BENGALURU,KARNATAKA,560029,IN,FALSE
8,171-5561216-3398711,5561216,Women,70,Senior,04-12-2022,Dec,Delivered,1 ,Others,JNE3405-KR-M,kurta,M,1,INR,435,GURUGRAM,HARYANA,122001,IN,FALSE
9,408-2935263-2935550,2935263,Women,75,Senior,04-12-2022,Dec,Delivered,1 ,Amazon,JNE3474-KR-E-XL,kurta,XL,1,INR,385,BENGALURU,KARNATAKA,562149,IN,FALSE
10,404-2648970-9042715,2648970,Women,43,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,JNE3466-KR-L,kurta,L,1,INR,771,VIJAYAWADA,ANDHRA PRADESH,520002,IN,FALSE
11,404-2648970-9042715,2648970,Women,76,Senior,04-12-2022,Dec,Delivered,1 ,Amazon,JNE3795-KR-S,kurta,S,1,INR,517,THIRUVANANTHAPURAM,KERALA,695018,IN,FALSE
12,404-2648970-9042715,2648970,Women,45,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,J0181-TP-M,Top,M,1,INR,399,ARAKONAM,TAMIL NADU,631003,IN,FALSE
13,408-0265357-4939534,265357,Women,18,Teenager,04-12-2022,Dec,Delivered,1 ,Amazon,SET217-KR-PP-XL,Set,XL,1,INR,786,GUWAHATI,ASSAM,781017,IN,FALSE
14,403-9268874-7296313,9268874,Men,44,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,SET185-KR-NP-M,Set,M,1,INR,911,BENGALURU,KARNATAKA,562125,IN,FALSE
15,407-0442660-2736366,442660,Women,52,Senior,04-12-2022,Dec,Delivered,1 ,Amazon,SET333-KR-DPT-M,Set,M,1,INR,967,HYDERABAD,TELANGANA,500098,IN,FALSE
16,406-7482261-1657136,7482261,Women,18,Teenager,04-12-2022,Dec,Delivered,1 ,Nalli,J0124-TP-L,Top,L,1,INR,523,NEW DELHI,DELHI,110062,IN,FALSE
17,407-7039962-7080347,7039962,Men,30,Adult,04-12-2022,Dec,Delivered,1 ,Meesho,SET304-KR-DPT-XL,Set,XL,1,INR,1115,Bhubaneswar,ODISHA,751022,IN,FALSE
18,407-3422488-7373923,3422488,Women,48,Adult,04-12-2022,Dec,Delivered,1 ,Others,SET184-KR-PP-XS,Set,XS,1,INR,563,SIROHI,RAJASTHAN,307001,IN,FALSE
19,171-8974687-6745940,8974687,Men,24,Teenager,04-12-2022,Dec,Delivered,1 ,Myntra,J0161-DR-XXL,Western Dress,XXL,1,INR,473,MUMBAI,MAHARASHTRA,400097,IN,FALSE
20,406-0244536-2177175,244536,Women,46,Adult,04-12-2022,Dec,Delivered,1 ,Amazon,SET233-KR-PP-M,Set,M,1,INR,545,AMRITSAR,PUNJAB,143001,IN,FALSE
21,404-4376789-3345166,4376789,Women,43,Adult,04-12-2022,Dec,Delivered,1 ,Nalli,J0231-SKD-XXXL,Set,3XL,1,INR,1164,LUCKNOW,UTTAR PRADESH,226024,IN,FALSE
22,408-1943310-9789160,1943310,Men,31,Adult,04-12-2022,Dec,Refunded,0 ,Myntra,J0339-DR-XXL,Western Dress,XXL,1,INR,743,NEW DELHI,DELHI,110087,IN,FALSE
23,403-0950590-5005155,950590,Men,30,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,SET210-KR-PP-XXXL,Set,3XL,1,INR,575,MADURAI,TAMIL NADU,625014,IN,FALSE
24,406-3935670-5720350,3935670,Women,19,Teenager,04-12-2022,Dec,Delivered,1 ,Ajio,SET110-KR-PP-XS,Set,XS,1,INR,788,Meerut,UTTAR PRADESH,250002,IN,FALSE
25,402-0398999-0011565,398999,Women,37,Adult,04-12-2022,Dec,Delivered,1 ,Amazon,SET273-KR-NP-M,Set,M,1,INR,612,HYDERABAD,TELANGANA,500060,IN,FALSE
26,403-5438780-7231546,5438780,Women,37,Adult,04-12-2022,Dec,Delivered,1 ,Others,MEN5025-KR-XXL,kurta,XXL,1,INR,533,INDORE,MADHYA PRADESH,452014,IN,FALSE
27,406-8343960-8137102,8343960,Women,62,Senior,04-12-2022,Dec,Delivered,1 ,Flipkart,JNE3690-TU-XL,Top,XL,1,INR,484,DAVANAGERE,KARNATAKA,577004,IN,FALSE
28,406-0986513-0498758,986513,Men,20,Teenager,04-12-2022,Dec,Delivered,1 ,Flipkart,SET184-KR-PP-XXXL,Set,3XL,1,INR,563,RUDRAPUR,UTTARAKHAND,263153,IN,FALSE
29,406-0947452-6044339,947452,Men,77,Senior,04-12-2022,Dec,Delivered,1 ,Flipkart,JNE3797-KR-XXL,Western Dress,XXL,1,INR,735,CHENNAI,TAMIL NADU,600103,IN,FALSE
30,406-1326018-3426760,1326018,Men,26,Teenager,04-12-2022,Dec,Delivered,1 ,Amazon,SET183-KR-DH-XS,Set,XS,1,INR,759,PRAYAGRAJ,UTTAR PRADESH,230304,IN,FALSE
31,406-9281717-2212317,9281717,Men,40,Adult,04-12-2022,Dec,Delivered,1 ,Amazon,JNE3797-KR-XXL,Western Dress,XXL,1,INR,715,GREAT NICOBAR,ANDAMAN & NICOBAR ,744302,IN,FALSE
32,408-6866119-6793128,6866119,Men,52,Senior,04-12-2022,Dec,Delivered,1 ,Amazon,J0414-DR-XXL,Western Dress,XXL,1,INR,885,AHMEDABAD,GUJARAT,380058,IN,FALSE
33,403-9400852-1350710,9400852,Women,38,Adult,04-12-2022,Dec,Delivered,1 ,Others,JNE3601-KR-M,kurta,M,1,INR,301,SALEM,TAMIL NADU,636007,IN,FALSE
34,408-2606836-0473931,2606836,Men,39,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,J0231-SKD-XL,Set,XL,1,INR,1238,GUWAHATI,ASSAM,781020,IN,FALSE
35,405-8481179-1130753,8481179,Men,37,Adult,04-12-2022,Dec,Delivered,1 ,Amazon,SET320-KR-NP-S,Set,S,1,INR,856,CHENNAI,TAMIL NADU,600119,IN,FALSE
36,406-9686095-5057139,9686095,Women,73,Senior,04-12-2022,Dec,Delivered,1 ,Flipkart,J0351-SET-L,Set,L,1,INR,650,VADODARA,GUJARAT,390021,IN,FALSE
37,404-9033015-7527503,9033015,Women,41,Adult,04-12-2022,Dec,Delivered,1 ,Amazon,JNE3368-KR-XL,kurta,XL,1,INR,449,Payyannur,KERALA,670309,IN,FALSE
38,402-6932218-7744338,6932218,Women,41,Adult,04-12-2022,Dec,Delivered,1 ,Myntra,SET333-KR-DPT-XS,Set,XS,1,INR,967,CHANDIGARH,CHANDIGARH,160036,IN,FALSE
39,408-8796291-5026713,8796291,Women,35,Adult,04-12-2022,Dec,Delivered,1 ,Amazon,JNE3423-KR-XL,kurta,XL,1,INR,399,GURUGRAM,HARYANA,122001,IN,FALSE
